year,data_year,source,target,cumulative_volume_af,transmission_kwh/af,treatment_kwh/af,used_vol_af,,,,,,,,,
2025,2010,SWPR_Feather,SWPR_Sacramento,1549033.981,0,0,0,,2025SWPR_FeatherSWPR_Sacramento,FALSE,TRUE,TRUE,TRUE,101%,,
2025,2010,R_Sacramento,SWPR_Sacramento,1549033.981,0,0,0,,2025R_SacramentoSWPR_Sacramento,FALSE,TRUE,TRUE,TRUE,101%,,
2025,2010,SWPR_Sacramento,SWP_SFBayDelta,1549033.981,0,0,0,,2025SWPR_SacramentoSWP_SFBayDelta,FALSE,TRUE,TRUE,TRUE,101%,,
2025,2010,SFBayDelta,SWP_SFBayDelta,1549033.981,0,0,0,,2025SFBayDeltaSWP_SFBayDelta,FALSE,TRUE,TRUE,TRUE,101%,,
2025,2010,SW1802SWP02,SWPR_Feather,1549033.981,0,0,0,,2025SW1802SWP02SWPR_Feather,FALSE,TRUE,TRUE,TRUE,101%,,
2020,2010,Lk_OrovilleSWP,SW1802SWP01,1537925.617,0,0,0,,2020Lk_OrovilleSWPSW1802SWP01,FALSE,TRUE,TRUE,TRUE,101%,,
2020,2010,SW1802SWP01,SW1802SWP02,1537925.617,0,0,0,,2020SW1802SWP01SW1802SWP02,FALSE,TRUE,TRUE,TRUE,101%,,
2020,2010,R_Feather,SWPR_Feather,1531120.65,0,0,0,,2020R_FeatherSWPR_Feather,FALSE,TRUE,TRUE,TRUE,101%,,
2020,2010,SWPR_Feather,SWPR_Sacramento,1531120.65,0,0,0,,2020SWPR_FeatherSWPR_Sacramento,FALSE,TRUE,TRUE,TRUE,101%,,
2020,2010,R_Sacramento,SWPR_Sacramento,1531120.65,0,0,0,,2020R_SacramentoSWPR_Sacramento,FALSE,TRUE,TRUE,TRUE,101%,,
2020,2010,SWPR_Sacramento,SWP_SFBayDelta,1531120.65,0,0,0,,2020SWPR_SacramentoSWP_SFBayDelta,FALSE,TRUE,TRUE,TRUE,101%,,
2020,2010,SFBayDelta,SWP_SFBayDelta,1531120.65,0,0,0,,2020SFBayDeltaSWP_SFBayDelta,FALSE,TRUE,TRUE,TRUE,101%,,
2020,2010,SW1802SWP02,SWPR_Feather,1531120.65,0,0,0,,2020SW1802SWP02SWPR_Feather,FALSE,TRUE,TRUE,TRUE,101%,,
2015,2010,Lk_OrovilleSWP,SW1802SWP01,1528607.618,0,0,0,,2015Lk_OrovilleSWPSW1802SWP01,FALSE,TRUE,TRUE,TRUE,101%,,
2015,2010,SW1802SWP01,SW1802SWP02,1528607.618,0,0,0,,2015SW1802SWP01SW1802SWP02,FALSE,TRUE,TRUE,TRUE,101%,,
2035,2010,SWP_SFBayDelta,SW1804SWP06,1523197.829,0,0,0,,2035SWP_SFBayDeltaSW1804SWP06,FALSE,TRUE,TRUE,TRUE,101%,,
2015,2010,R_Feather,SWPR_Feather,1521960.695,0,0,0,,2015R_FeatherSWPR_Feather,FALSE,TRUE,TRUE,TRUE,101%,,
2015,2010,SWPR_Feather,SWPR_Sacramento,1521960.695,0,0,0,,2015SWPR_FeatherSWPR_Sacramento,FALSE,TRUE,TRUE,TRUE,101%,,
2015,2010,R_Sacramento,SWPR_Sacramento,1521960.695,0,0,0,,2015R_SacramentoSWPR_Sacramento,FALSE,TRUE,TRUE,TRUE,101%,,
2015,2010,SWPR_Sacramento,SWP_SFBayDelta,1521960.695,0,0,0,,2015SWPR_SacramentoSWP_SFBayDelta,FALSE,TRUE,TRUE,TRUE,101%,,
2015,2010,SFBayDelta,SWP_SFBayDelta,1521960.695,0,0,0,,2015SFBayDeltaSWP_SFBayDelta,FALSE,TRUE,TRUE,TRUE,101%,,
2015,2010,SW1802SWP02,SWPR_Feather,1521960.695,0,0,0,,2015SW1802SWP02SWPR_Feather,FALSE,TRUE,TRUE,TRUE,101%,,
2030,2010,SWP_SFBayDelta,SW1804SWP06,1506008.077,0,0,0,,2030SWP_SFBayDeltaSW1804SWP06,FALSE,TRUE,TRUE,TRUE,101%,,
2025,2010,SWP_SFBayDelta,SW1804SWP06,1495977.001,0,0,0,,2025SWP_SFBayDeltaSW1804SWP06,FALSE,TRUE,TRUE,TRUE,101%,,
2020,2010,SWP_SFBayDelta,SW1804SWP06,1479123.611,0,0,0,,2020SWP_SFBayDeltaSW1804SWP06,FALSE,TRUE,TRUE,TRUE,101%,,
2015,2010,SWP_SFBayDelta,SW1804SWP06,1472206.891,0,0,0,,2015SWP_SFBayDeltaSW1804SWP06,FALSE,TRUE,TRUE,TRUE,101%,,
2010,2010,Lk_OrovilleSWP,SW1802SWP01,1452262.051,0,0,0,,2010Lk_OrovilleSWPSW1802SWP01,FALSE,TRUE,TRUE,TRUE,101%,,
2010,2010,SW1802SWP01,SW1802SWP02,1452262.051,0,0,0,,2010SW1802SWP01SW1802SWP02,FALSE,TRUE,TRUE,TRUE,101%,,
2010,2010,R_Feather,SWPR_Feather,1446662.785,0,0,0,,2010R_FeatherSWPR_Feather,FALSE,TRUE,TRUE,TRUE,101%,,
2010,2010,SWPR_Feather,SWPR_Sacramento,1446662.785,0,0,0,,2010SWPR_FeatherSWPR_Sacramento,FALSE,TRUE,TRUE,TRUE,101%,,
2010,2010,R_Sacramento,SWPR_Sacramento,1446662.785,0,0,0,,2010R_SacramentoSWPR_Sacramento,FALSE,TRUE,TRUE,TRUE,101%,,
2010,2010,SWPR_Sacramento,SWP_SFBayDelta,1446662.785,0,0,0,,2010SWPR_SacramentoSWP_SFBayDelta,FALSE,TRUE,TRUE,TRUE,101%,,
2010,2010,SFBayDelta,SWP_SFBayDelta,1446662.785,0,0,0,,2010SFBayDeltaSWP_SFBayDelta,FALSE,TRUE,TRUE,TRUE,101%,,
2010,2010,SW1802SWP02,SWPR_Feather,1446662.785,0,0,0,,2010SW1802SWP02SWPR_Feather,FALSE,TRUE,TRUE,TRUE,101%,,
2010,2010,SWP_SFBayDelta,SW1804SWP06,1397555.58,0,0,0,,2010SWP_SFBayDeltaSW1804SWP06,FALSE,TRUE,TRUE,TRUE,101%,,
2035,2010,SW1804SWP10,SW1803SWP16,1305229.205,170.283826,0,0,,2035SW1804SWP10SW1803SWP16,TRUE,TRUE,TRUE,TRUE,100%,,
2035,2010,SW1803SWP16,SW1803SWP17,1300272.697,322.8733991,0,0,,2035SW1803SWP16SW1803SWP17,TRUE,TRUE,TRUE,TRUE,100%,,
2035,2010,SW1803SWP17,SW1803SWP18,1300272.697,346.4418809,0,0,,2035SW1803SWP17SW1803SWP18,TRUE,TRUE,TRUE,TRUE,100%,,
2030,2010,SW1804SWP10,SW1803SWP16,1294431.309,169.2579218,0,0,,2030SW1804SWP10SW1803SWP16,TRUE,TRUE,TRUE,TRUE,100%,,
2025,2010,SW1804SWP10,SW1803SWP16,1289670.403,169.4270529,0,0,,2025SW1804SWP10SW1803SWP16,TRUE,TRUE,TRUE,TRUE,100%,,
2030,2010,SW1803SWP16,SW1803SWP17,1289545.406,317.3681811,0,0,,2030SW1803SWP16SW1803SWP17,TRUE,TRUE,TRUE,TRUE,100%,,
2030,2010,SW1803SWP17,SW1803SWP18,1289545.406,340.9700173,0,0,,2030SW1803SWP17SW1803SWP18,TRUE,TRUE,TRUE,TRUE,100%,,
2035,2010,SW1803SWP18,SW1803SWP19,1288289.767,787.2391431,0,0,,2035SW1803SWP18SW1803SWP19,TRUE,TRUE,TRUE,TRUE,100%,,
2025,2010,SW1803SWP16,SW1803SWP17,1284790.082,318.102336,0,0,,2025SW1803SWP16SW1803SWP17,TRUE,TRUE,TRUE,TRUE,100%,,
2025,2010,SW1803SWP17,SW1803SWP18,1284790.082,341.6898898,0,0,,2025SW1803SWP17SW1803SWP18,TRUE,TRUE,TRUE,TRUE,100%,,
2020,2010,SW1804SWP10,SW1803SWP16,1277985.725,179.2392155,0,0,,2020SW1804SWP10SW1803SWP16,TRUE,TRUE,TRUE,TRUE,100%,,
2030,2010,SW1803SWP18,SW1803SWP19,1277601.541,777.0436873,0,0,,2030SW1803SWP18SW1803SWP19,TRUE,TRUE,TRUE,TRUE,100%,,
2015,2010,SW1804SWP10,SW1803SWP16,1275215.006,206.9254951,0,0,,2015SW1804SWP10SW1803SWP16,TRUE,TRUE,TRUE,TRUE,100%,,
2020,2010,SW1803SWP16,SW1803SWP17,1274424.105,317.7979599,0,0,,2020SW1803SWP16SW1803SWP17,TRUE,TRUE,TRUE,TRUE,100%,,
2020,2010,SW1803SWP17,SW1803SWP18,1274424.105,341.391709,0,0,,2020SW1803SWP17SW1803SWP18,TRUE,TRUE,TRUE,TRUE,100%,,
2025,2010,SW1803SWP18,SW1803SWP19,1272801.805,778.3872274,0,0,,2025SW1803SWP18SW1803SWP19,TRUE,TRUE,TRUE,TRUE,100%,,
2015,2010,SW1803SWP16,SW1803SWP17,1268679.284,375.7249653,0,0,,2015SW1803SWP16SW1803SWP17,TRUE,TRUE,TRUE,TRUE,100%,,
2015,2010,SW1803SWP17,SW1803SWP18,1268679.284,390.4975084,0,0,,2015SW1803SWP17SW1803SWP18,TRUE,TRUE,TRUE,TRUE,100%,,
2020,2010,SW1803SWP18,SW1803SWP19,1262370.445,777.8293622,0,0,,2020SW1803SWP18SW1803SWP19,TRUE,TRUE,TRUE,TRUE,100%,,
2015,2010,SW1803SWP18,SW1803SWP19,1256528.579,851.8899372,0,0,,2015SW1803SWP18SW1803SWP19,TRUE,TRUE,TRUE,TRUE,100%,,
2035,2010,SW1804SWP06,SW1804SWP10,1241823.829,383.1722404,0,0,,2035SW1804SWP06SW1804SWP10,FALSE,TRUE,TRUE,TRUE,101%,,
2010,2010,SW1804SWP10,SW1803SWP16,1230236.9,175.2881216,0,0,,2010SW1804SWP10SW1803SWP16,TRUE,TRUE,TRUE,TRUE,100%,,
2030,2010,SW1804SWP06,SW1804SWP10,1230227.005,385.1256252,0,0,,2030SW1804SWP06SW1804SWP10,FALSE,TRUE,TRUE,TRUE,101%,,
2025,2010,SW1804SWP06,SW1804SWP10,1224271.218,385.0543592,0,0,,2025SW1804SWP06SW1804SWP10,FALSE,TRUE,TRUE,TRUE,101%,,
2020,2010,SW1804SWP06,SW1804SWP10,1211686.127,385.0399753,0,0,,2020SW1804SWP06SW1804SWP10,FALSE,TRUE,TRUE,TRUE,101%,,
2015,2010,SW1804SWP06,SW1804SWP10,1207759.188,452.4177038,0,0,,2015SW1804SWP06SW1804SWP10,FALSE,TRUE,TRUE,TRUE,101%,,
2010,2010,SW1803SWP16,SW1803SWP17,1200418.9,333.466297,0,0,,2010SW1803SWP16SW1803SWP17,TRUE,TRUE,TRUE,TRUE,100%,,
2010,2010,SW1803SWP17,SW1803SWP18,1200418.9,357.9416763,0,0,,2010SW1803SWP17SW1803SWP18,TRUE,TRUE,TRUE,TRUE,100%,,
2010,2010,SW1803SWP18,SW1803SWP19,1190583.574,793.4911428,0,0,,2010SW1803SWP18SW1803SWP19,TRUE,TRUE,TRUE,TRUE,100%,,
2010,2010,SW1804SWP06,SW1804SWP10,1163690.987,379.9848624,0,0,,2010SW1804SWP06SW1804SWP10,FALSE,TRUE,TRUE,TRUE,102%,,
2035,2010,1807217IMP,1807217PD,1061192.68,0,217.361614,0,,20351807217IMP1807217PD,TRUE,TRUE,TRUE,TRUE,100%,,
2030,2010,1807217IMP,1807217PD,1038999.857,0,218.5884387,0,,20301807217IMP1807217PD,TRUE,TRUE,TRUE,TRUE,100%,,
2025,2010,1807217IMP,1807217PD,1031402.172,0,219.0615067,0,,20251807217IMP1807217PD,TRUE,TRUE,TRUE,TRUE,100%,,
2020,2010,1807217IMP,1807217PD,1024154.858,0,220.3994709,0,,20201807217IMP1807217PD,TRUE,TRUE,TRUE,TRUE,100%,,
2015,2010,1807217IMP,1807217PD,1017012.689,0,220.9875212,0,,20151807217IMP1807217PD,TRUE,TRUE,TRUE,TRUE,100%,,
2010,2010,R_COLORADO,SW_CRA,968750,0,0,0,,2010R_COLORADOSW_CRA,TRUE,TRUE,TRUE,TRUE,100%,,
2010,2010,SW_CRA,1807217IMP,968750,2000,0,0,,2010SW_CRA1807217IMP,TRUE,TRUE,TRUE,TRUE,100%,,
2010,2010,SW1803SWP19,SW1809SWP24,729603.9822,2798.687513,0,0,,2010SW1803SWP19SW1809SWP24,TRUE,TRUE,TRUE,TRUE,100%,,
2010,2010,SW1809SWP24,SW1809SWP25,719413.6735,800.9315021,0,0,,2010SW1809SWP24SW1809SWP25,TRUE,TRUE,TRUE,TRUE,100%,,
2035,2010,SW1803SWP19,SW1809SWP24,691821.3716,2803.775981,0,0,,2035SW1803SWP19SW1809SWP24,TRUE,TRUE,TRUE,TRUE,100%,,
2030,2010,SW1803SWP19,SW1809SWP24,684819.2943,2776.748419,0,0,,2030SW1803SWP19SW1809SWP24,TRUE,TRUE,TRUE,TRUE,100%,,
2025,2010,SW1803SWP19,SW1809SWP24,681727.8072,2780.343202,0,0,,2025SW1803SWP19SW1809SWP24,TRUE,TRUE,TRUE,TRUE,100%,,
2035,2010,SW1809SWP24,SW1809SWP25,678555.0828,828.2443245,0,0,,2035SW1809SWP24SW1809SWP25,TRUE,TRUE,TRUE,TRUE,100%,,
2020,2010,SW1803SWP19,SW1809SWP24,673655.8578,2778.842222,0,0,,2020SW1803SWP19SW1809SWP24,TRUE,TRUE,TRUE,TRUE,100%,,
2030,2010,SW1809SWP24,SW1809SWP25,671553.1545,824.3707469,0,0,,2030SW1809SWP24SW1809SWP25,TRUE,TRUE,TRUE,TRUE,100%,,
2015,2010,SW1803SWP19,SW1809SWP24,670412.4586,2940.793926,0,0,,2015SW1803SWP19SW1809SWP24,TRUE,TRUE,TRUE,TRUE,100%,,
2025,2010,SW1809SWP24,SW1809SWP25,668458.5185,825.7803404,0,0,,2025SW1809SWP24SW1809SWP25,TRUE,TRUE,TRUE,TRUE,100%,,
2020,2010,SW1809SWP24,SW1809SWP25,660163.9555,825.1831311,0,0,,2020SW1809SWP24SW1809SWP25,TRUE,TRUE,TRUE,TRUE,100%,,
2015,2010,SW1809SWP24,SW1809SWP25,657267.5912,870.7935211,0,0,,2015SW1809SWP24SW1809SWP25,TRUE,TRUE,TRUE,TRUE,100%,,
2035,2010,SW1803SWP19,SW1809SWP20,595839.0132,2803.775981,0,0,,2035SW1803SWP19SW1809SWP20,TRUE,TRUE,TRUE,TRUE,100%,,
2030,2010,SW1803SWP19,SW1809SWP20,592207.203,2776.748419,0,0,,2030SW1803SWP19SW1809SWP20,TRUE,TRUE,TRUE,TRUE,100%,,
2025,2010,SW1803SWP19,SW1809SWP20,590543.6929,2780.343202,0,0,,2025SW1803SWP19SW1809SWP20,TRUE,TRUE,TRUE,TRUE,100%,,
2030,2010,1807203PD,1807203E,589266.95,163.1,0,0,,20301807203PD1807203E,FALSE,TRUE,TRUE,TRUE,101%,,
2020,2010,SW1803SWP19,SW1809SWP20,588240.4134,2778.842222,0,0,,2020SW1803SWP19SW1809SWP20,TRUE,TRUE,TRUE,TRUE,100%,,
2035,2010,1807203PD,1807203E,586974.72,163.1,0,0,,20351807203PD1807203E,FALSE,TRUE,TRUE,TRUE,101%,,
2015,2010,SW1803SWP19,SW1809SWP20,585843.1207,2940.793926,0,0,,2015SW1803SWP19SW1809SWP20,TRUE,TRUE,TRUE,TRUE,100%,,
2025,2010,1807203PD,1807203E,580224.4,163.1,0,0,,20251807203PD1807203E,FALSE,TRUE,TRUE,TRUE,100%,,
2015,2010,1807309IMP,1807309PD,573921.7152,22.48298346,224,0,,20151807309IMP1807309PD,TRUE,TRUE,TRUE,TRUE,100%,,
2020,2010,1807203PD,1807203E,571789.4,163.1,0,0,,20201807203PD1807203E,FALSE,TRUE,TRUE,TRUE,100%,,
2015,2010,1807203PD,1807203E,550204.2,163.1,0,0,,20151807203PD1807203E,FALSE,TRUE,TRUE,TRUE,100%,,
2035,2010,1807309IMP,1807309PD,526377.9839,22.24540993,224,0,,20351807309IMP1807309PD,TRUE,TRUE,TRUE,TRUE,100%,,
2015,2010,1807217IMP,1807309IMP,516138.8973,0,0,0,,20151807217IMP1807309IMP,TRUE,TRUE,TRUE,TRUE,100%,,
2035,2010,SW1809SWP20,SW1809SWP21,508151.0132,0,0,0,,2035SW1809SWP20SW1809SWP21,TRUE,TRUE,TRUE,TRUE,100%,,
2010,2010,1807203PD,1807203E,507910.275,163.1,0,0,,20101807203PD1807203E,FALSE,TRUE,TRUE,TRUE,101%,,
2030,2010,SW1809SWP20,SW1809SWP21,504519.203,0,0,0,,2030SW1809SWP20SW1809SWP21,TRUE,TRUE,TRUE,TRUE,100%,,
