year,data_year,source,target,cumulative_volume_af,transmission_kwh/af,treatment_kwh/af,used_vol_af,linkID,Ratio lo/med,med trans,med treatment,,lo,,hi,year,data_year,source,target,cumulative_volume_af,transmission_kwh/af,treatment_kwh/af,used_vol_af,HI linkID,ratio hi/med,med trans,med treatment,,Med,year,data_year,source,target,cumulative_volume_af,transmission_kwh/af,treatment_kwh/af,used_vol_af,medlinkID
2015,2010,1805031PD,1805031E,199920,318.2,0,0,20151805031PD1805031E,1,318.2,0,,,,,2025,2010,1807055PD,1807055E,202735.6,163.1,0,0,20251807055PD1807055E,1,163.1,0,,,2030,2010,SW1802SWP01,SW1802SWP02,2919455.555,0,0,0,2030SW1802SWP01SW1802SWP02
2035,2010,1802059PD,1802059E,197645.4,17.6,0,0,20351802059PD1802059E,1,17.6,0,,,,,2030,2010,1807055PD,1807055E,202735.6,163.1,0,0,20301807055PD1807055E,1,163.1,0,,,2030,2010,R_Feather,SWPR_Feather,2910482.065,0,0,0,2030R_FeatherSWPR_Feather
2020,2010,1807055PD,1807055E,197181.2,163.1,0,0,20201807055PD1807055E,1,163.1,0,,,,,2035,2010,1807055PD,1807055E,202735.6,163.1,0,0,20351807055PD1807055E,1,163.1,0,,,2030,2010,SWPR_Feather,SWPR_Sacramento,2910482.065,0,0,0,2030SWPR_FeatherSWPR_Sacramento
2025,2010,1807307PD,1807307E,195549.62,163.1,0,0,20251807307PD1807307E,1,163.1,0,,,,,2015,2010,RES1805031,1805031PD,201600,152.545098,72.6,0,2015RES18050311805031PD,1,152.545098,72.6,,,2030,2010,R_Sacramento,SWPR_Sacramento,2910482.065,0,0,0,2030R_SacramentoSWPR_Sacramento
2010,2010,1807055PD,1807055E,194964.02,163.1,0,0,20101807055PD1807055E,1,163.1,0,,,,,2025,2010,1807309PD,1807309E,201213.18,163.1,0,0,20251807309PD1807309E,1,163.1,0,,,2030,2010,SWPR_Sacramento,SWP_SFBayDelta,2910482.065,0,0,0,2030SWPR_SacramentoSWP_SFBayDelta
2035,2010,GW1807-4-11.04,1807055GW,194336.8588,579,0,0,2035GW1807-4-11.041807055GW,1,579,0,,,,,2015,2010,1807055PD,1807055E,199958.4,163.1,0,0,20151807055PD1807055E,1,163.1,0,,,2030,2010,SFBayDelta,SWP_SFBayDelta,2910482.065,0,0,0,2030SFBayDeltaSWP_SFBayDelta
2030,2010,GW1807-4-11.04,1807055GW,192908.9701,579,0,0,2030GW1807-4-11.041807055GW,1,579,0,,,,,2015,2010,1805031PD,1805031E,199920,318.2,0,0,20151805031PD1805031E,1,318.2,0,,,2030,2010,SW1802SWP02,SWPR_Feather,2910482.065,0,0,0,2030SW1802SWP02SWPR_Feather
2020,2010,1807309PD,1807309E,191712.84,163.1,0,0,20201807309PD1807309E,1,163.1,0,,,,,2035,2010,1802059PD,1802059E,197645.4,17.6,0,0,20351802059PD1802059E,1,17.6,0,,,2025,2010,Lk_OrovilleSWP,SW1802SWP01,2901382.494,0,0,0,2025Lk_OrovilleSWPSW1802SWP01
2025,2010,GW1807-4-11.04,1807055GW,191401.0876,579,0,0,2025GW1807-4-11.041807055GW,1,579,0,,,,,2020,2010,1807055PD,1807055E,197181.2,163.1,0,0,20201807055PD1807055E,1,163.1,0,,,2025,2010,SW1802SWP01,SW1802SWP02,2901382.494,0,0,0,2025SW1802SWP01SW1802SWP02
2015,2010,1807229PD,1807229E,188303.05,163.1,0,0,20151807229PD1807229E,1,163.1,0,,,,,2025,2010,1807307PD,1807307E,195549.62,163.1,0,0,20251807307PD1807307E,1,163.1,0,,,2025,2010,R_Feather,SWPR_Feather,2893579.199,0,0,0,2025R_FeatherSWPR_Feather
2015,2010,GW1807-4-11.04,1807055GW,186570.7234,579,0,0,2015GW1807-4-11.041807055GW,1,579,0,,,,,2010,2010,1807055PD,1807055E,194964.02,163.1,0,0,20101807055PD1807055E,1,163.1,0,,,2025,2010,SWPR_Feather,SWPR_Sacramento,2893579.199,0,0,0,2025SWPR_FeatherSWPR_Sacramento
2020,2010,GW1807-4-11.04,1807055GW,185413.5541,579,0,0,2020GW1807-4-11.041807055GW,1,579,0,,,,,2035,2010,GW1807-4-11.04,1807055GW,194336.8588,579,0,0,2035GW1807-4-11.041807055GW,1,579,0,,,2025,2010,R_Sacramento,SWPR_Sacramento,2893579.199,0,0,0,2025R_SacramentoSWPR_Sacramento
2020,2010,RES1805031,1805031PD,181440,146.4507576,72.6,0,2020RES18050311805031PD,1,146.4507576,72.6,,,,,2030,2010,GW1807-4-11.04,1807055GW,192908.9701,579,0,0,2030GW1807-4-11.041807055GW,1,579,0,,,2025,2010,SWPR_Sacramento,SWP_SFBayDelta,2893579.199,0,0,0,2025SWPR_SacramentoSWP_SFBayDelta
2020,2010,1805031PD,1805031E,180364.8,318.2,0,0,20201805031PD1805031E,1,318.2,0,,,,,2020,2010,1807309PD,1807309E,191712.84,163.1,0,0,20201807309PD1807309E,1,163.1,0,,,2025,2010,SFBayDelta,SWP_SFBayDelta,2893579.199,0,0,0,2025SFBayDeltaSWP_SFBayDelta
2020,2010,1807307PD,1807307E,180241.6,163.1,0,0,20201807307PD1807307E,1,163.1,0,,,,,2025,2010,GW1807-4-11.04,1807055GW,191401.0876,579,0,0,2025GW1807-4-11.041807055GW,1,579,0,,,2025,2010,SW1802SWP02,SWPR_Feather,2893579.199,0,0,0,2025SW1802SWP02SWPR_Feather
2025,2010,1810013PD,1810013E,180192,17.6,0,0,20251810013PD1810013E,1,17.6,0,,,,,2015,2010,1807229PD,1807229E,188303.05,163.1,0,0,20151807229PD1807229E,1,163.1,0,,,2035,2010,SWP_SFBayDelta,SW1804SWP06,2885295.659,0,0,0,2035SWP_SFBayDeltaSW1804SWP06
